               state	                soln	                  pH	                  pe	                C(4)	                  Ca	                  Mg	                  Cl	             Calcite	           d_Calcite	       Dolomite(dis)	     d_Dolomite(dis)	
               react	                  34	  9.906577410700e+00	 -4.761574727790e+00	  1.233508420691e-04	  1.246094832403e-04	  2.142633028941e-05	  4.536994194399e-05	  2.074673495013e-04	 -3.909158058103e-09	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  35	  9.908461199586e+00	  8.231597541860e+00	  1.230364480873e-04	  1.235274663079e-04	  9.206370509408e-06	  1.939477646985e-05	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  35	  9.908464371187e+00	  8.239542509273e+00	  1.230377116776e-04	  1.235287298982e-04	  9.206370509510e-06	  1.939477647007e-05	  2.074798847116e-04	 -1.263588929941e-09	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  36	  9.907939779152e+00	  8.327562536029e+00	  1.231290290071e-04	  1.238256741894e-04	  1.263492232327e-05	  2.666313402475e-05	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  36	  9.907944341554e+00	  8.338780963118e+00	  1.231308476475e-04	  1.238274928298e-04	  1.263492232347e-05	  2.666313402518e-05	  2.074774829567e-04	 -1.818638450880e-09	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  37	  9.909066781617e+00	  8.210195868648e+00	  1.229211144377e-04	  1.231802797663e-04	  5.152557651782e-06	  1.082344496648e-05	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  37	  9.909068040495e+00	  8.220375720473e+00	  1.229216156553e-04	  1.231807809839e-04	  5.152557651805e-06	  1.082344496653e-05	  2.074828434265e-04	 -5.012169904106e-10	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  38	  9.908763689050e+00	  7.988771771261e+00	  1.229807375464e-04	  1.233545333934e-04	  7.201476938207e-06	  1.515054457833e-05	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  38	  9.908765591616e+00	  8.057462823471e+00	  1.229814953048e-04	  1.233552911518e-04	  7.201476938255e-06	  1.515054457843e-05	  2.074818748791e-04	 -7.577575590926e-10	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  39	  9.909410169676e+00	  8.407113047814e+00	  1.228496647480e-04	  1.229824485557e-04	  2.791619261828e-06	  5.848805142264e-06	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
