               state	                soln	                  pH	                  pe	          Synthetica	          Syntheticb	          k_Productd	         dk_Productd	
              i_soln	                  52	  7.005196017275e+00	 -2.258522498262e+00	  3.609174519871e-01	  3.609174519871e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  52	  7.005345906876e+00	 -2.267675576695e+00	  3.574501795678e-01	  3.574501795678e-01	  6.207803971308e-01	  3.467272419026e-03	
              i_soln	                  53	  7.005533478597e+00	  1.119835627513e+01	  3.534173067392e-01	  3.534173067392e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  53	  7.005683478579e+00	  1.121043353361e+01	  3.500196502341e-01	  3.500196502341e-01	  5.999448017256e-01	  3.397656504801e-03	
              i_soln	                  54	  7.005409841712e+00	  1.125610507243e+01	  3.561469175924e-01	  3.561469175924e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  54	  7.005559804644e+00	  1.125544039900e+01	  3.527239134327e-01	  3.527239134327e-01	  6.075015960582e-01	  3.423004159383e-03	
              i_soln	                  55	  7.005747928676e+00	  1.109393928572e+01	  3.487319077817e-01	  3.487319077817e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  55	  7.005897984363e+00	  1.107962946014e+01	  3.453777916198e-01	  3.453777916198e-01	  5.870431218029e-01	  3.354116161616e-03	
              i_soln	                  56	  7.005624068704e+00	  1.123741045785e+01	  3.514304608486e-01	  3.514304608486e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  56	  7.005774093617e+00	  1.122831460461e+01	  3.480512628796e-01	  3.480512628796e-01	  5.944629545482e-01	  3.379197968708e-03	
              i_soln	                  57	  7.005962749044e+00	  1.120085913069e+01	  3.441000145685e-01	  3.441000145685e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  57	  7.006112849457e+00	  1.119726772615e+01	  3.407889799492e-01	  3.407889799492e-01	  5.743757299205e-01	  3.311034619031e-03	
              i_soln	                  58	  7.005838677780e+00	  1.121582711365e+01	  3.467677206208e-01	  3.467677206208e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  58	  7.005988753660e+00	  1.121750737083e+01	  3.434318688253e-01	  3.434318688253e-01	  5.816607513926e-01	  3.335851795247e-03	
              i_soln	                  59	  7.006177919335e+00	  1.120707025978e+01	  3.395212582690e-01	  3.395212582690e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  59	  7.006328053556e+00	  1.120503735558e+01	  3.362528485528e-01	  3.362528485528e-01	  5.619389734976e-01	  3.268409715899e-03	
              i_soln	                  60	  7.006053648526e+00	  1.119053972640e+01	  3.421583308334e-01	  3.421583308334e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  60	  7.006203764510e+00	  1.119416333554e+01	  3.388653673158e-01	  3.388653673158e-01	  5.690912892390e-01	  3.292963517314e-03	
              i_soln	                  61	  7.006393419248e+00	 -2.026010671976e+00	  3.349952654512e-01	  3.349952654512e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  61	  7.006543576428e+00	 -1.986516246208e+00	  3.317690262266e-01	  3.317690262266e-01	  5.497292159437e-01	  3.226239224329e-03	
              i_soln	                  62	  7.006268960608e+00	  1.121022273497e+01	  3.376019206845e-01	  3.376019206845e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  62	  7.006419105715e+00	  1.120881280551e+01	  3.343513897389e-01	  3.343513897389e-01	  5.567509108832e-01	  3.250530945304e-03	
              i_soln	                  63	  7.006609228469e+00	  1.120039783946e+01	  3.305216582776e-01	  3.305216582776e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  63	  7.006759397636e+00	  1.118777969079e+01	  3.273371374258e-01	  3.273371374258e-01	  5.377428898386e-01	  3.184520851551e-03	
              i_soln	                  64	  7.006484593730e+00	  1.127154293849e+01	  3.330981148571e-01	  3.330981148571e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  64	  7.006634757316e+00	  1.127145753649e+01	  3.298895630332e-01	  3.298895630332e-01	  5.446360268652e-01	  3.208551823685e-03	
              i_soln	                  65	  7.006825326813e+00	  1.122770214241e+01	  3.261000547049e-01	  3.261000547049e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  65	  7.006975497520e+00	  1.122420214331e+01	  3.229568024628e-01	  3.229568024628e-01	  5.259764536168e-01	  3.143252241833e-03	
              i_soln	                  66	  7.006700527608e+00	  1.121124001244e+01	  3.286465337113e-01	  3.286465337113e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  66	  7.006850698736e+00	  1.121220996314e+01	  3.254795098782e-01	  3.254795098782e-01	  5.327430615244e-01	  3.167023832837e-03	
              i_soln	                  67	  7.007041694141e+00	  1.116720731439e+01	  3.217300686675e-01	  3.217300686675e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  67	  7.007191855467e+00	  1.115355113896e+01	  3.186276376890e-01	  3.186276376890e-01	  5.144264076158e-01	  3.102430978257e-03	
              i_soln	                  68	  7.006916742096e+00	  1.130662937119e+01	  3.242467934819e-01	  3.242467934819e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  68	  7.007066910070e+00	  1.130515243963e+01	  3.211208488907e-01	  3.211208488907e-01	  5.210685105530e-01	  3.125944590955e-03	
              i_soln	                  69	  7.007258310378e+00	  1.115736419665e+01	  3.174113102526e-01	  3.174113102526e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  69	  7.007408451831e+00	  1.116330399485e+01	  3.143492556679e-01	  3.143492556679e-01	  5.030893164523e-01	  3.062054584433e-03	
              i_soln	                  70	  7.007133217074e+00	  1.125167181415e+01	  3.198985064563e-01	  3.198985064563e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  70	  7.007283371278e+00	  1.125755690166e+01	  3.168131948003e-01	  3.168131948003e-01	  5.096088941452e-01	  3.085311655778e-03	
              i_soln	                  71	  7.007475155499e+00	  1.123957616368e+01	  3.131433858683e-01	  3.131433858683e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  71	  7.007625266483e+00	  1.123887103284e+01	  3.101212653418e-01	  3.101212653418e-01	  4.919617691767e-01	  3.022120526168e-03	
              i_soln	                  72	  7.007349932492e+00	  1.129813126063e+01	  3.156012811462e-01	  3.156012811462e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  72	  7.007500062282e+00	  1.129231843564e+01	  3.125561586197e-01	  3.125561586197e-01	  4.983607746397e-01	  3.045122526283e-03	
              i_soln	                  73	  7.007692209590e+00	  1.127856503244e+01	  3.089258983961e-01	  3.089258983961e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  73	  7.007842279673e+00	  1.127853724350e+01	  3.059432721829e-01	  3.059432721829e-01	  4.810403972039e-01	  2.982626212992e-03	
              i_soln	                  74	  7.007566868361e+00	  1.123798630343e+01	  3.113547224512e-01	  3.113547224512e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  74	  7.007716963448e+00	  1.123752016229e+01	  3.083493478066e-01	  3.083493478066e-01	  4.873207792273e-01	  3.005374644310e-03	
              i_soln	                  75	  7.007909452726e+00	  1.124587261047e+01	  3.047584473320e-01	  3.047584473320e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  75	  7.008059471550e+00	  1.125416437228e+01	  3.018148783322e-01	  3.018148783322e-01	  4.703218958616e-01	  2.943568999592e-03	
              i_soln	                  76	  7.007784004785e+00	 -2.178559579687e+00	  3.071584318049e-01	  3.071584318049e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  76	  7.007934054489e+00	 -2.196255621940e+00	  3.041923664086e-01	  3.041923664086e-01	  4.764855586483e-01	  2.966065396034e-03	
              i_soln	                  77	  7.008126865042e+00	  1.127485655032e+01	  3.006406289187e-01	  3.006406289187e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  77	  7.008276822325e+00	  1.127257125593e+01	  2.977356827313e-01	  2.977356827313e-01	  4.598029843323e-01	  2.904946187174e-03	
              i_soln	                  78	  7.008001321847e+00	  1.124244877407e+01	  3.030120073122e-01	  3.030120073122e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  78	  7.008151315848e+00	  1.124329699069e+01	  3.000848151986e-01	  3.000848151986e-01	  4.658518060184e-01	  2.927192113375e-03	
              i_soln	                  79	  7.008344426761e+00	  1.126526228603e+01	  2.965720362572e-01	  2.965720362572e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  79	  7.008494312210e+00	  1.126315469326e+01	  2.937052812323e-01	  2.937052812323e-01	  4.494804309923e-01	  2.866755024647e-03	
              i_soln	                  80	  7.008218799720e+00	  1.118044996087e+01	  2.989150438752e-01	  2.989150438752e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  80	  7.008368727767e+00	  1.119624954803e+01	  2.960262917997e-01	  2.960262917997e-01	  4.554162782830e-01	  2.888752075297e-03	
              i_soln	                  81	  7.008562118130e+00	  1.123396105054e+01	  2.925522594105e-01	  2.925522594105e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  81	  7.008711921713e+00	  1.123152324610e+01	  2.897232667005e-01	  2.897232667005e-01	  4.393510393190e-01	  2.828992709729e-03	
              i_soln	                  82	  7.008436418647e+00	  1.124641191884e+01	  2.948671332982e-01	  2.948671332982e-01	  0.000000000000e+00	  0.000000000000e+00	
