               state	                soln	                  pH	                  pe	                  Ca	                  Cl	                   K	                N(5)	                  Na	
              i_exch	                 126	  6.994915304551e+00	  1.264451284382e+01	  5.999995099919e-04	  1.199999984270e-03	  8.798516449224e-10	  1.672863553323e-11	  1.021648709587e-10	
               react	                  46	  6.994915304014e+00	  1.264451283189e+01	  5.999995374951e-04	  1.199999985217e-03	  8.308659204235e-10	  1.578121214323e-11	  9.614419900881e-11	
              i_soln	                  47	  6.994915306657e+00	  1.264465377662e+01	  5.999990270470e-04	  1.199999970773e-03	  1.751832299998e-09	  3.022480048204e-11	  1.960740566424e-10	
              i_exch	                 127	  6.994915307715e+00	  1.264465377662e+01	  5.999989643638e-04	  1.199999968914e-03	  1.864683049765e-09	  3.208322901845e-11	  2.085898111123e-10	
               react	                  47	  6.994915306671e+00	  1.264465376074e+01	  5.999990222970e-04	  1.199999970773e-03	  1.761112440972e-09	  3.022480048145e-11	  1.962938827849e-10	
              i_soln	                  48	  6.994915305678e+00	  1.264460832670e+01	  5.999992577158e-04	  1.199999977146e-03	  1.335125815732e-09	  2.385188201631e-11	  1.514429475997e-10	
              i_exch	                 128	  6.994915306385e+00	  1.264460832669e+01	  5.999992098376e-04	  1.199999975689e-03	  1.421212453710e-09	  2.530927104621e-11	  1.611127286540e-10	
               react	                  48	  6.994915305690e+00	  1.264460833184e+01	  5.999992540913e-04	  1.199999977146e-03	  1.342205040921e-09	  2.385188201584e-11	  1.516127871358e-10	
              i_soln	                  49	  6.994915309534e+00	  1.264471941265e+01	  5.999984424129e-04	  1.199999955328e-03	  2.810164447203e-09	  4.566965185701e-11	  3.070100630749e-10	
              i_exch	                 129	  6.994915310092e+00	  1.264471941265e+01	  5.999983422618e-04	  1.199999952503e-03	  2.990896806333e-09	  4.849508301995e-11	  3.265799622545e-10	
               react	                  49	  6.994915309559e+00	  1.264471939960e+01	  5.999984348099e-04	  1.199999955328e-03	  2.825026760398e-09	  4.566965185612e-11	  3.073537881957e-10	
              i_soln	                  50	  6.994915307691e+00	  1.264468381781e+01	  5.999988085872e-04	  1.199999964927e-03	  2.147067710105e-09	  3.607085429150e-11	  2.377581396028e-10	
              i_exch	                 130	  6.994915308709e+00	  1.264468381781e+01	  5.999987318975e-04	  1.199999962702e-03	  2.285278703918e-09	  3.829584861267e-11	  2.529266227189e-10	
               react	                  50	  6.994915307709e+00	  1.264468379889e+01	  5.999988027712e-04	  1.199999964927e-03	  2.158433322776e-09	  3.607085429080e-11	  2.380245582379e-10	
              i_soln	                  51	  6.994915313136e+00	  1.264476964152e+01	  5.999975179768e-04	  1.199999932207e-03	  4.487730696694e-09	  6.879037598373e-11	  4.783161849409e-10	
              i_exch	                 131	  6.994915314269e+00	  1.264476964152e+01	  5.999973586673e-04	  1.199999927943e-03	  4.775921616752e-09	  7.305452359241e-11	  5.087441580483e-10	
               react	                  51	  6.994915313174e+00	  1.264476963489e+01	  5.999975058600e-04	  1.199999932207e-03	  4.511429770007e-09	  6.879037598238e-11	  4.788506216868e-10	
              i_soln	                  52	  6.994915310994e+00	  1.264474311226e+01	  5.999980965949e-04	  1.199999946561e-03	  3.437343204213e-09	  5.443682127117e-11	  3.714673970560e-10	
              i_exch	                 132	  6.994915311581e+00	  1.264474311226e+01	  5.999979743059e-04	  1.199999943189e-03	  3.658262562209e-09	  5.780864191074e-11	  3.951260642303e-10	
               react	                  52	  6.994915311024e+00	  1.264474310809e+01	  5.999980873036e-04	  1.199999946561e-03	  3.455510257109e-09	  5.443682127011e-11	  3.718829373905e-10	
              i_soln	                  53	  6.994915319524e+00	  1.264480466350e+01	  5.999960632060e-04	  1.199999897844e-03	  7.134259481004e-09	  1.031526728901e-10	  7.413290835959e-10	
              i_exch	                 133	  6.994915321056e+00	  1.264480466350e+01	  5.999958109005e-04	  1.199999891455e-03	  7.591822627131e-09	  1.095415578269e-10	  7.883769356996e-10	
